"ID","CRASHDATE","NYCBOROUGH","ViolationDescription","ViolationCode"
15145336,"3/2/2020","MANHATTAN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15185780,"3/29/2016","BROOKLYN","OPERATING REGISTRATION SUSP/REVOKED","512"
15225559,"3/30/2016","MANHATTAN","DRIVING W/ABILITY IMPARED BY DRUG","11924"
15232410,"3/31/2016","MANHATTAN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15214142,"4/4/2016","BRONX","REFUSAL TO TAKE BREATH TEST","11941B"
15198822,"4/5/2016","BROOKLYN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15199307,"4/7/2016","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15196196,"4/11/2016","BRONX","AGG UNLIC OPER 3 PLUS SUSPENSION","5112A4"
15206743,"4/11/2016","MANHATTAN","FAILED TO USE DESIGNATED LANE","1128C"
15239328,"4/11/2016","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15150639,"4/13/2016","BRONX","UNLICENSED OPERATOR","5091"
15150550,"4/16/2016","BROOKLYN","UNLICENSED OPERATOR","5091"
15206039,"4/19/2016","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15221771,"4/19/2016","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15229950,"4/20/2016","QUEENS","DISOBEYED TRAFFIC DEVICE","1110A"
15150650,"11/22/2019","MANHATTAN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15150639,"11/23/2019","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150624,"11/25/2019","MANHATTAN","FAILED TO KEEP RIGHT","1120A"
15150621,"11/26/2019","BROOKLYN","UNSAFE TIRE","37535C"
15150621,"11/27/2019","MANHATTAN","FAILED TO KEEP RIGHT","1120A"
15150599,"11/29/2019","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15150603,"11/29/2019","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15150610,"11/29/2019","BRONX","FAILED TO KEEP RIGHT","1120A"
15150577,"11/30/2019","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150582,"11/30/2019","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15150593,"11/30/2019","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150597,"11/30/2019","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150597,"11/30/2019","QUEENS","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15150549,"12/3/2019","QUEENS","UNSAFE TIRE","37535C"
15150530,"12/6/2019","QUEENS","FLD TO YLD RT-OF-WAY @ INTERSECTION","1140A"
15150531,"12/6/2019","MANHATTAN","UNLICENSED OPERATOR","5091"
15150549,"12/6/2019","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15150526,"12/7/2019","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
